지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 상대습도(%),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),평균 지면온도(°C),평균 30cm 지중온도(°C),5.0m 지중온도(°C)
184,2016-01-29,8.6,7.7,1654,10,1353,23.17,0,0,0,0,32.4,13.3,1501,7.5,1538,3.5,92,1100,0.2,0.98,0,0,0,0,8.6,7,17.9
184,2016-01-30,7.9,6.5,2344,9,1421,2.83,0,0,0,0,3.8,10.4,1624,6.9,1635,4.1,82.6,1300,0.37,1.32,0,0,0,0,7.8,7.3,17.9
184,2016-01-31,4.6,3.1,2249,6.5,1,0,0,0,0,0,0,9.9,1913,6.2,1928,3.6,69.3,1400,0.47,2.74,0,0,0,0,5.1,7.1,17.8
184,2016-02-01,2.7,1.6,2221,3.6,1356,2.5,0,0,0,0,0,13.9,2335,8,1512,5.1,65.9,1100,0.3,1.43,0,0,0,0,2.5,6.5,17.7
184,2016-02-02,2.8,2,25,4.7,1339,0.87,0,0,0,0,0,14.3,35,7.6,8,4.6,62.6,1300,1.49,6.45,0,0,0,0,3.2,5.8,17.8
184,2016-02-03,4.8,2.3,1,6.8,1313,0,0,0,0,0,0,9.9,545,5,403,3.4,53.8,1300,2.11,11.02,0,0,0,0,4.9,5.8,17.8
184,2016-02-04,6.9,5.2,2357,9.4,1331,0,0,0,0,0,0,7.9,424,5.2,248,3.4,49,1300,1.79,10.5,0,0,0,0,6.3,6.3,17.8
184,2016-02-05,6,4.6,509,8.5,1324,0,0,0,0,0,0,8.2,2328,5.2,1924,3.3,57.4,1100,2.16,11.53,0,0,0,0,6.3,6.5,17.8
184,2016-02-06,4.2,3,1234,5.8,210,1.77,0,0,0,0,0.1,15.9,1629,9.7,1626,6,61.1,1000,0.47,2.61,0,0,0,0,3.8,6.6,17.1
184,2016-02-07,4.3,2.6,1250,7.2,1419,1.42,0,0,0,0,0.1,14.1,127,6.8,202,3.8,59,1400,1.92,5.62,0,0,0,0,5.8,6.1,17.7
184,2016-02-08,8.2,4.7,6,11.2,1503,0,0,0,0,0,0,14.6,1523,8.2,1513,4.6,48.9,1100,2.02,12.4,0,0,0,0,7.3,6.1,17.7
184,2016-02-09,8.4,5.2,731,11.6,1346,0,0,0,0,0,0,17.1,308,10.3,313,3.3,48,1200,2.31,14.98,0,0,0,0,9.1,6.6,17
184,2016-02-10,9.9,4.5,729,16.7,1558,0,0,0,0,0,0,10.5,1348,6.6,1315,2.4,54.6,1200,2.15,14.01,0,0,0,0,7.7,6.8,17.7
184,2016-02-11,14.9,9.2,621,19.5,1125,3.87,0,0,0,0,0.1,19.1,1940,9,1831,3.4,55.9,1200,2.51,8.96,0,0,0,0,10.5,7.4,17.6
184,2016-02-12,17.4,15.7,641,20.5,1056,13.35,0,0,0,0,24,15.8,947,8.8,955,2.7,79.6,1100,0.24,1.33,0,0,0,0,13.7,8.9,17.3
184,2016-02-13,14.8,9,2353,19.7,1552,6.42,0,0,0,0,9.1,15.8,2024,9,2308,3.4,92.4,1000,1.31,4.5,0,0,0,0,14.1,10.2,17.3
184,2016-02-14,4.3,2.4,2324,9.2,1,2.67,0,0,0,0,0,18,2120,10.8,2236,7.5,71.3,1200,0.77,3.23,0,0,0,0,5.9,10.4,15.6
184,2016-02-15,2.1,-0.4,702,3.7,1230,8.67,0,0,0,0,0.1,21,542,11.7,829,7.9,67.4,1200,1.45,7.95,0,0,0,0,3.1,8.7,15.5
184,2016-02-16,5.7,2.9,1,7.9,1446,6.08,0,0,0,0,0,17.2,1823,9.5,2026,6.9,57.3,1300,1.19,5.2,0,0,0,0,4.7,7.6,16
184,2016-02-17,5.8,3.8,2350,8.1,1000,0,0,0,0,0,0,15.1,412,8.3,413,4.2,53.3,1400,2.18,10.98,0,0,0,0,7,7.3,16.1
184,2016-02-18,8,2.6,330,13.9,1355,0,0,0,0,0,0,13.4,1442,8.3,1501,3.3,54,1200,2.59,16.18,0,0,0,0,7.6,7.3,17.1
184,2016-02-19,10.4,8.3,601,12.5,2053,1.2,0,0,0,0,0.2,9.4,1753,5,1817,2.4,64.3,1100,1.24,6.41,0,0,0,0,8.8,7.7,17
184,2016-02-20,8.3,5.3,2352,11.1,49,0,0,0,0,0,0,15.7,1727,9.6,1741,4.8,53.5,1400,2.08,12.14,0,0,0,0,9.8,8.2,16.9
184,2016-02-21,5.7,4.2,630,8.7,1158,0,0,0,0,0,0,11.6,6,8,2,3.5,50.6,1100,2.39,13.62,0,0,0,0,7,8.1,16.7
184,2016-02-22,6,4.9,2048,8.7,1105,11.45,0,0,0,0,5.4,5.8,1309,3.9,1203,1.6,71.5,1100,1,4.63,0,0,0,0,7,7.9,17.1
184,2016-02-23,7.2,3.7,2353,10.8,1419,2.42,0,0,0,0,0.3,13.6,2140,8.1,2146,3.9,64.6,1300,2.15,12.3,0,0,0,0,9.1,8,17.1
184,2016-02-24,3.1,2.3,522,4.8,1315,2.08,0,0,0,0,0,13.9,1445,7.9,1840,5.5,56.4,1000,1.21,6.81,0,0,0,0,3.4,8,16.7
184,2016-02-25,4.3,2.1,237,7.8,1323,0,0,0,0,0,0,14,152,6.9,200,3.8,49.3,1200,2.38,12,0,0,0,0,5.1,7.2,16.8
184,2016-02-26,9.2,3.3,1,13.5,1445,0,0,0,0,0,0,11.1,2357,5.8,2356,3,43.6,1300,2.31,15.16,0,0,0,0,8.6,7,17.1
184,2016-02-27,12,10,2319,14.6,1438,2.27,0,0,0,0,0.1,14.5,226,8,232,4.2,68.1,1300,2.01,11.93,0,0,0,0,12.1,7.7,15.7
184,2016-02-28,11.4,6.3,2309,19.5,1308,0.42,0,0,0,0,0,17.4,1543,10.7,1550,4,59.8,1300,2.52,15.51,0,0,0,0,13,8.5,16.8
184,2016-02-29,3.5,0.4,2251,6.6,5,4.48,0,0,0,0,0.5,20.7,1513,11.7,1421,7.7,55.9,1100,2.01,9.58,0,0,0,0,5.5,8.9,15.6
184,2016-03-01,3.6,1,14,6.9,1435,0,0,0,0,0,0,10.4,6,6.7,2,3.7,55.8,1300,2.43,14.21,0,0,0,0,8.8,7.9,16.3
184,2016-03-02,7.9,2.1,435,13.6,1553,0,0,0,0,0,0,6.4,1427,4.2,1402,2.2,57.3,1200,2.75,18.66,0,0,0,0,10.2,7.7,16.8
184,2016-03-03,12.3,6.1,622,16,1352,3.58,0,0,0,0,0.3,6.5,2341,4.4,1144,2.3,57.5,1200,2.58,14.57,0,0,0,0,11.7,8.4,16.9
184,2016-03-04,16.6,12.6,332,22.5,1308,0.22,0,0,0,0,0,6.8,1423,4.9,1425,1.9,68.9,1200,2.61,13.69,0,0,0,0,15.8,9.6,16.8
184,2016-03-05,18.1,14.2,57,22,1638,14.83,0,0,0,0,32.7,15.1,1609,7.2,1753,3.1,76.3,1200,1.95,8.89,0,0,0,0,15.4,11,16.5
184,2016-03-06,12.1,10,926,15.8,1,4.92,0,0,0,0,7.9,9,57,5.4,58,1.8,83.8,1400,1.93,8.64,0,0,0,0,14.5,12.6,16.1
184,2016-03-07,14.1,10.4,543,18.6,1105,0.23,0,0,0,0,0,8.9,1152,5.9,1153,2.2,83.8,1200,2.33,13.65,0,0,0,0,13.8,12.2,16.5
184,2016-03-08,10.1,6.5,2352,14.3,1,6.67,0,0,0,0,17.3,16.1,2030,10.4,2007,4.1,75.3,1200,0.38,1.86,0,0,0,0,10.9,12.6,16.5
184,2016-03-09,6.1,4.3,2231,8.5,1604,7.17,0,0,0,0,25,15.1,1217,8.9,1208,5.7,66.5,1200,2.93,17.68,0,0,0,0,9.7,11.2,16.7
184,2016-03-10,4.4,2.9,2340,6.7,1413,0,0,0,0,0,0,13.1,1724,7,1552,4.7,54.5,1300,2.49,14.55,0,0,0,0,7.8,10.6,16.2
184,2016-03-11,4.8,2.9,16,7.7,1419,0,0,0,0,0,0,11.6,1957,6.1,338,4.5,49.8,1100,2.51,16.33,0,0,0,0,7.6,10,16.2
184,2016-03-12,6.4,2.9,734,8.4,1340,0,0,0,0,0,0,9.3,249,5.8,605,3.2,45.8,1200,2.95,19.04,0,0,0,0,9.9,9.6,16.3
184,2016-03-13,8.4,6.1,320,11,1047,11.77,0,0,0,0,9.4,10.3,1956,6.3,2128,2.4,69.5,1000,0.61,2.78,0,0,0,0,7.7,9.7,16.4
184,2016-03-14,7.6,6.4,902,9.6,1408,0,0,0,0,0,0,12.7,539,8,603,4.7,60.9,1200,1.86,11.41,0,0,0,0,8.1,9.5,16.3
184,2016-03-15,8.3,3.7,622,11.6,1357,0,0,0,0,0,0,5.6,1400,3.9,1305,2,57,1200,3.12,20.98,0,0,0,0,10.4,9.2,16.4
184,2016-03-16,12,8,606,16.1,1203,0,0,0,0,0,0,6.9,1422,5.4,1305,2.2,54.3,1200,3.01,19.35,0,0,0,0,14.5,10.1,16.4
184,2016-03-17,15,8.5,641,21.3,1321,3.38,0,0,0,0,0,10.1,1058,6,1104,2.3,62.6,1300,2.77,18.78,0,0,0,0,15.4,10.9,16.4
184,2016-03-18,15.3,13.2,2027,20,1441,4.35,0,0,0,0,4.2,9.8,1805,6,1724,2.1,91,1300,2.54,12.8,0,0,0,0,17,12.2,16.2
184,2016-03-19,12.4,9.8,2359,15.2,1156,0,0,0,0,0,0,8.6,1504,5.9,1311,2.9,74.5,1200,2.83,17.04,0,0,0,0,15.2,13.3,15.6
184,2016-03-20,11.1,7.3,538,13.9,1425,0,0,0,0,0,0,5.2,1152,3.4,1343,2,74.6,1300,2.78,15.57,0,0,0,0,14.6,13,16.1
184,2016-03-21,12.4,9.7,2358,15.5,1400,0,0,0,0,0,0,11.4,1141,7.6,1248,2.8,61.3,1200,3.12,20.97,0,0,0,0,15.3,12.9,16.2
184,2016-03-22,11.2,7.9,629,15.1,1303,0,0,0,0,0,0,8.3,1502,4.8,1456,2.7,67.6,1200,3.18,21.06,0,0,0,0,14.3,13,16.3
184,2016-03-23,9.8,7.3,2238,14.5,1340,0,0,0,0,0,0,11.6,1720,6.7,1720,3.3,61.5,1200,2.96,18.81,0,0,0,0,13.2,13.1,16.1
184,2016-03-24,9.1,7,644,12.1,1439,0,0,0,0,0,0,13.3,229,6.8,335,4.2,56.3,1200,3.16,20.88,0,0,0,0,15.5,12.8,16.1
184,2016-03-25,8.9,7.4,449,12.1,1550,0,0,0,0,0,0,6.7,4,3.6,10,2.5,59,1000,2.34,16.66,0,0,0,0,12.6,12.8,16.1
184,2016-03-26,8.7,6.7,626,11.3,1335,0,0,0,0,0,0,9.7,2023,6.2,1545,3.9,46.1,1200,3.21,22.38,0,0,0,0,14.2,12.6,15.9
184,2016-03-27,10.2,6.6,635,13.9,1307,0,0,0,0,0,0,9.8,228,5.2,212,3,42.5,1200,3,20.77,0,0,0,0,15.4,12.5,15.8
184,2016-03-28,13.1,6.9,210,17.2,1202,0,0,0,0,0,0,10.8,1427,6.8,1407,3.3,37.1,1200,2.98,21.18,0,0,0,0,15.2,12.6,16.1
184,2016-03-29,14.7,10.2,558,17.8,1619,0,0,0,0,0,0,16.9,1422,10.7,1513,5,44.5,1100,1.92,12.96,0,0,0,0,15.8,12.7,15.8
184,2016-03-30,14.7,12.4,613,17.4,1347,0,0,0,0,0,0,5,1016,3.6,940,1.5,74.3,1300,2.58,18.17,0,0,0,0,20.8,13.1,15.8
184,2016-03-31,13.9,13.2,2357,16.1,1101,6.22,0,0,0,0,0.1,4.9,1137,3.5,1140,1.4,84,1100,0.89,5.16,0,0,0,0,14.4,13.8,15.9
184,2016-04-01,14.4,9.8,653,18.8,1248,0,0,0,0,0,0,8,1441,5,1444,2.1,66.4,1200,3.17,22.13,0,0,0,0,20.2,13.8,15.7
184,2016-04-02,16.3,11.1,540,21.6,1527,0,0,0,0,0,0,8.2,1812,5.9,1816,1.9,61.9,1200,2.99,20.63,0,0,0,0,21.7,14.4,15.8
184,2016-04-03,15.6,14.5,1603,17.2,1105,13.43,1,1520,4.2,1151,25.2,8.1,2341,4.8,2343,1.6,92.4,1000,0.4,2.38,0,0,0,0,16.3,15.1,15.5
184,2016-04-04,13.3,12.8,549,15,1,12.08,0.4,237,1.4,114,5.9,9.2,110,6,110,2.2,92.6,1500,0.66,3.79,0,0,0,0,15.4,14.9,15.9
184,2016-04-05,13.8,12.6,2308,16.4,1425,0,0,0,0,0,0,4.9,1023,3.6,1230,1.6,71.3,1300,2.73,15.81,0,0,0,0,16.8,14.7,15.8
184,2016-04-06,15.1,11.6,227,18.6,1207,10.33,0.7,1836,1.3,1757,2.3,14.5,1752,7.1,1944,2.9,72.3,1000,0.79,4.86,0,0,0,0,14,14.9,15.8
184,2016-04-07,14.9,12.6,1515,21.6,21,10.02,2,107,5.4,38,14.5,18.2,142,9.5,35,4.8,86.1,1300,1.98,9.35,0,0,0,0,16.2,14.9,14.7
184,2016-04-08,13.3,11.5,2353,16.6,1400,0,0,0,0,0,0,5.8,1430,3.9,1012,1.9,84.6,1400,2.55,16.14,0,0,0,0,16.7,15.1,15.4
184,2016-04-09,14.6,11.1,404,20,1339,0,0,0,0,0,0,4.9,1622,3.5,1422,1.6,81.4,1200,3.18,23.79,0,0,0,0,18.3,15.4,15.6
184,2016-04-10,15.3,12.2,539,18.8,1332,0,0,0,0,0,0,5,1232,3.5,1139,1.4,68.5,1100,3.19,20.43,0,0,0,0,17.5,16.2,15.6
184,2016-04-11,14.6,12.5,340,18.8,1208,0,0,0,0,0,0,12.6,1319,6.8,1326,3.1,74.4,1200,3.25,19.86,0,0,0,0,18.9,16.4,15.6
184,2016-04-12,16.5,12.2,536,21.1,1329,2.53,0,0,0,0,0,15,1209,7.3,924,3.6,70.5,1200,3.22,17.77,0,0,0,0,17.4,16.4,15.6
184,2016-04-13,15.9,13,2256,19.6,1,4.55,5.1,636,16.4,614,24.4,7.7,814,4.9,309,2.3,89.3,1200,1.39,6.75,0,0,0,0,16.9,16.7,15
184,2016-04-14,15.1,12.8,539,22.3,1458,0,0,0,0,0,0,7.5,1239,4.8,1149,2.3,83.1,1200,3.37,22.03,0,0,0,0,19.3,16.9,15.4
184,2016-04-15,16.2,11,540,21.2,1450,0,0,0,0,0,0,14,1323,7.6,1904,3.9,66.6,1200,3.46,25.78,0,0,0,0,18.1,17.2,15.4
184,2016-04-16,20.1,14.2,50,24.5,1308,7.35,2,1615,6.5,1552,18.6,33.2,2029,14.3,2043,5.1,69.3,1300,1.46,5.26,0,0,0,0,17.6,17.1,15.5
184,2016-04-17,13.5,12.4,527,16.4,1510,0.3,0.2,0,0.7,-2331,0.2,24.9,141,14,129,5.8,71.6,1300,3.31,17.15,0,0,0,0,16.6,17,14.5
184,2016-04-18,14.6,12.6,1,17.3,1403,0.83,0,0,0,0,0,10.5,1523,7.1,1531,3.5,55.5,1300,2.74,17.26,0,0,0,0,16.8,16.7,15.2
184,2016-04-19,14.9,13.2,404,17.2,1436,0,0,0,0,0,0,7.2,11,4.6,146,2.5,62.6,1200,3.31,24.46,0,0,0,0,19.1,16.6,15
184,2016-04-20,18,12.3,623,21.7,2307,0.97,0,0,0,0,0,21.8,2138,12.6,2147,2.7,62.5,1000,2.68,17.37,0,0,0,0,18.9,17.1,15.4
184,2016-04-21,16.7,13.4,1823,22.4,426,10.02,0.5,721,2,700,4.2,12.8,524,6.6,1344,4.2,87.5,1300,2.28,10.08,0,0,0,0,18.9,17.6,14.8
184,2016-04-22,16.7,11.5,516,22.3,1638,0,0,0,0,0,0,7.2,1553,4.7,1555,2.3,77,1200,3.35,24.78,0,0,0,0,20.4,17.7,15.2
184,2016-04-23,16.6,14.7,1053,20.2,1459,5.73,0.5,1020,1.5,936,2.9,9.5,2203,5.2,1522,2.1,83,1200,1.46,5.59,0,0,0,0,17.5,18.2,15.1
184,2016-04-24,16.9,14.3,309,20.7,918,0,0,0,0,0,0,11.2,1527,6.7,1316,2.7,56.5,1200,3.37,24.45,0,0,0,0,19.1,17.9,15.2
184,2016-04-25,16.8,13.7,545,19.8,1843,0,0,0,0,0,0,10.2,1034,6.3,1119,3.3,59.6,1100,3.28,23.67,0,0,0,0,19.3,18,15.4
184,2016-04-26,18.2,14,509,24.2,1235,5.05,0.3,2222,0.8,2132,1,11.7,1305,5.9,1408,3.4,69.8,1200,3.11,18.2,0,0,0,0,18.4,18,15.4
184,2016-04-27,14.3,13.1,2351,16,1,23.2,1.4,1809,2.9,1808,13.6,12,623,6.1,619,4,93.6,1400,0.3,2.43,0,0,0,0,15.9,18.1,15.3
184,2016-04-28,13.9,12.7,200,15.9,1700,13.87,0.5,1023,1.7,822,8.6,8,1148,5.3,1156,2,88.6,1400,1.19,6.49,0,0,0,0,16.2,17.2,15.4
184,2016-04-29,14.9,11.3,528,19,1501,0,0,0,0,0,0,7.3,1506,4.7,1507,2.7,66.5,1200,3.54,27.82,0,0,0,0,18.7,17,15.3
184,2016-04-30,17,11.8,441,22.1,1604,0,0,0,0,0,0,6.9,1643,5.3,1512,2.2,54.6,1200,3.42,26.58,0,0,0,0,19.9,17.6,15.4
184,2016-05-01,18.4,14.2,527,22.4,1520,0,0,0,0,0,0,5.5,1701,3.9,1659,1.8,59,1200,3.39,25.82,0,0,0,0,21.3,18.2,15.4
184,2016-05-02,21.3,16.5,526,25.7,2234,4.1,0.5,1426,0.6,1336,0.8,23.7,1802,12.2,1806,3.2,61,800,1.42,7.25,0,0,0,0,18.2,18.7,15.2
184,2016-05-03,18.4,15,1022,24.3,233,8.9,1.9,604,2.9,538,7.6,23.5,130,13.5,44,6.8,70.4,1200,2.82,13.16,0,0,0,0,17.6,18.5,14.9
184,2016-05-04,20.8,16.3,245,25.7,1427,0,0,0,0,0,0,19,1245,11,1219,6.5,39.9,1200,3.6,27.91,0,0,0,0,20.4,18.1,14.8
184,2016-05-05,18.8,15.6,526,23.1,1441,4.33,0.2,2059,0.4,2024,0.4,10.1,2324,5.9,1836,1.8,65.8,1100,1.94,11.66,0,0,0,0,18.5,18.2,15.1
184,2016-05-06,18.6,15.8,2220,23.1,1316,3.67,0.9,17,1.8,-2336,3,7.1,1330,4.9,1402,2.5,89.5,1300,3.25,19.37,0,0,0,0,22.9,18.7,15.2
184,2016-05-07,17.7,13.8,525,21.2,1531,0,0,0,0,0,0,6,109,4,113,2.2,56.9,1300,2.91,23.69,0,0,0,0,20.9,19.6,15.2
184,2016-05-08,18.1,14.9,341,23.8,1042,8.48,0.4,2157,0.7,2118,0.7,11,1118,6.2,921,2.8,62.1,1000,2.41,12.07,0,0,0,0,18.1,19.6,15.4
184,2016-05-09,15.4,14.7,741,16.6,1331,5.17,0.1,0,0.2,0,0.2,7,715,4.6,1147,2.5,92.8,1300,1.32,5.95,0,0,0,0,17.6,19.2,15.4
184,2016-05-10,14.6,13.3,2302,15.8,41,11.08,3.5,608,9.5,557,31.6,11.1,1742,6.3,1756,2.4,94,1300,0.6,2.73,0,0,0,0,16.7,18.5,15.4
184,2016-05-11,15.7,13.4,241,18.9,1423,0,0,0,0,0,0,7.8,208,4.5,2,2.5,83.1,1200,3.64,24.86,0,0,0,0,20.9,18.2,15.2
184,2016-05-12,17.1,14.1,111,21.3,1508,0,0,0,0,0,0,5,1311,4,1537,1.7,78.5,1200,3.62,29.01,0,0,0,0,22.2,19.2,15.3
184,2016-05-13,16.7,14.8,345,19.6,1121,0,0,0,0,0,0,10.2,504,4.6,1133,2,79.8,1000,2.63,18.87,0,0,0,0,20.7,19.8,15.4
184,2016-05-14,18.3,15.9,341,22,1635,0,0,0,0,0,0,13.1,1426,7.3,1438,3.3,75.8,1200,3.3,22.26,0,0,0,0,21.8,19.7,15.4
184,2016-05-15,21.5,14.2,2338,30.4,1520,4.83,0,0,0,0,0,15.5,1632,8.5,2101,3.3,68.4,1200,3.43,27.82,0,0,0,0,24.6,20.1,15.2
184,2016-05-16,15.6,11.8,537,19.5,1601,7.43,3.1,153,10.1,125,16.7,12.6,329,8.1,337,3.6,64.9,1200,3.65,24.54,0,0,0,0,19.7,20.8,15.3
184,2016-05-17,19.5,14.5,203,24,1422,0,0,0,0,0,0,7.9,1222,5,1401,2.8,41.4,1200,3.6,29.07,0,0,0,0,22.2,20.3,15.2
184,2016-05-18,19.6,15.3,434,24,1629,0,0,0,0,0,0,9.9,1248,6.8,1108,2.6,58.4,1300,3.42,28.46,0,0,0,0,24.8,20.4,15.4
184,2016-05-19,19.8,16.8,554,24.8,1644,0,0,0,0,0,0,9.9,1419,7.8,1419,2.1,65.5,1000,3.14,21.78,0,0,0,0,23,20.7,15.3
184,2016-05-20,19.9,15.4,448,24,1717,0,0,0,0,0,0,12.2,1428,7.4,1201,3.5,68,1200,3.48,27.53,0,0,0,0,26.1,21,15.4
184,2016-05-21,20.8,18.2,508,23.8,1524,0,0,0,0,0,0,10.7,1344,6.5,918,3.5,67.5,1100,3.37,19.91,0,0,0,0,24.6,21.3,15.5
184,2016-05-22,21,18.7,506,23.3,1008,1.38,0,0,0,0,0,10.2,1357,5.2,1452,3.4,68.6,1000,1.48,10.16,0,0,0,0,22.9,21.3,15.4
184,2016-05-23,23.1,19.6,207,28,1025,0,0,0,0,0,0,8.6,817,5.4,901,2.2,60.1,1200,3.39,26.98,0,0,0,0,30.1,21.3,15.3
184,2016-05-24,18.6,16.6,2330,22.5,648,6.97,4.9,807,15.5,807,20.8,9.8,820,5.8,811,1.9,87.4,1200,0.84,4.48,0,0,0,0,19.3,22,15.4
184,2016-05-25,19,15.7,542,22.3,1332,0,0,0,0,0,0,4.9,1023,3.7,1029,1.6,74.3,1200,3.44,26.78,0,0,0,0,22.7,21.3,15.4
184,2016-05-26,20.7,17.7,312,23.6,1507,1.4,0,0,0,0,0,5.4,1513,3.4,1516,1.6,67.5,1300,2.83,18.26,0,0,0,0,23,21.8,15.4
184,2016-05-27,19.3,17.5,2323,23,1417,10.67,0.4,2208,0.8,1947,2.5,5,213,3,1209,1.5,80.8,1200,3.28,15.88,0,0,0,0,22.9,22.1,15.4
184,2016-05-28,18.6,17.1,139,22.2,1507,11.77,2,944,8.3,942,16.6,9.9,451,5.2,1638,2.2,84.6,1400,2.38,10.25,0,0,0,0,21.6,22,15.4
184,2016-05-29,17.5,16.4,640,19.8,1825,10.92,1.7,602,3.7,1031,12.1,5.7,1342,3.7,1344,1.9,91.4,1600,0.57,4.55,0,0,0,0,18.8,21.5,15.5
184,2016-05-30,20.3,15.7,502,24.9,1543,0,0,0,0,0,0,5.5,1146,4,1735,2.3,70,1200,3.6,29.04,0,0,0,0,22.5,21,15.5
184,2016-05-31,20.7,17.2,406,25.3,1421,0.03,0,0,0,0,0,5.9,1942,3.9,1947,1.7,54.6,1100,3.31,21.8,0,0,0,0,22.7,21.8,15.4
184,2016-06-01,20,17.9,2335,22.3,1124,1.12,0,0,0,0,0,12.5,1506,5.9,1145,2.8,70.1,1300,1.94,12.84,0,0,0,0,21.1,21.9,15.5
184,2016-06-02,20,16.7,529,23.4,1826,0,0,0,0,0,0,11,1319,6.4,1222,3.1,65.5,1200,3.68,28.7,0,0,0,0,24.3,21.7,15.5
184,2016-06-03,22.8,17.1,206,28.8,1335,0.13,0,0,0,0,0,11,1159,5.8,1424,2.4,56.6,1200,3.35,21.02,0,0,0,0,25.8,22.1,15.5
184,2016-06-04,18.6,17.1,1337,23.8,216,14,0.6,823,1.1,1531,3.6,13.5,1213,6.6,602,3.6,84.1,1200,0.74,3.75,0,0,0,0,19.6,22.2,15.6
184,2016-06-05,19.8,17.2,212,21.8,1204,1.17,0,0,0,0,0,9.1,43,4.8,47,2.2,81.9,1100,1.68,11.05,0,0,0,0,21.3,21.4,15.5
184,2016-06-06,18.6,17.8,606,20.1,3,22.1,0.5,601,1.2,546,8.4,7.9,442,4.4,603,2.5,95.9,1300,0.97,5.03,0,0,0,0,20.6,21.5,15.6
184,2016-06-07,20,18.8,401,23.9,1102,0,0,0,0,0,0,6.8,1156,5.1,1201,2,93.6,1100,3.27,16.24,0,0,0,0,22.7,21.6,15.6
184,2016-06-08,20,18.8,440,22.1,1120,3.9,0.1,449,0.4,446,0.5,4.2,1437,3.2,1442,1.1,92.6,1200,1.1,6.87,0,0,0,0,21.4,22.1,15.6
184,2016-06-09,20.8,19.4,304,23.9,1309,2.25,0,0,0,0,0,5.5,1429,3.6,1436,1.4,86.5,1300,2.68,17.57,0,0,0,0,24.7,22.1,15.5
184,2016-06-10,23.2,19.1,507,27.1,1534,0,0,0,0,0,0,6.3,757,4.4,759,1.7,76.4,1200,3.36,26.53,0,0,0,0,26.7,22.7,15.6
184,2016-06-11,24,20.3,234,29.3,1415,0,0,0,0,0,0,6.9,1419,4.4,1427,1.6,80.9,1400,2.67,20.56,0,0,0,0,27.9,23.7,15.6
184,2016-06-12,22.5,20.2,2241,24.7,905,8.13,0.5,1139,1.7,1121,4.8,6.7,1720,4.5,1803,1.7,93.5,1200,0.68,5.6,0,0,0,0,23.6,24.1,15.7
184,2016-06-13,21.8,20.2,9,24.8,1426,0,0,0,0,0,0,5.6,1525,4.4,1440,1.9,85.5,1300,3.14,15.93,0,0,0,0,25.3,23.7,15.7
184,2016-06-14,21.8,19.8,508,25.1,1420,0,0,0,0,0,0,5.6,1119,3.9,1050,2.1,77.4,1300,3.48,25.34,0,0,0,0,26.7,24,15.8
184,2016-06-15,23.3,19.8,350,26.5,1458,2.73,0,0,0,0,0,6,1204,4.3,1511,1.7,74.3,1100,3.13,20.26,0,0,0,0,25.4,24.3,15.7
184,2016-06-16,21.8,20.5,2304,24,128,2.08,0.1,0,0.1,0,0.1,11.1,1202,7.4,1214,3.9,84,1100,2.14,10.94,0,0,0,0,23.8,24.6,16.2
184,2016-06-17,22.4,19.7,515,25.9,1519,0,0,0,0,0,0,6.3,1050,4.5,933,2.5,80,1200,3.54,27.45,0,0,0,0,28.2,24.1,16
184,2016-06-18,22.9,19.9,528,25.3,2130,0.73,3,1931,3.7,1915,3.7,5.8,2115,3.3,2119,1.4,78.9,1000,2.54,14.93,0,0,0,0,25.1,24.6,15.8
184,2016-06-19,24.8,23,2352,28.2,1312,0,0,0,0,0,0,9.5,349,5.2,349,2.4,84.5,1200,3.44,20.17,0,0,0,0,26.2,24.7,15.9
184,2016-06-20,23.9,22.3,2358,26.5,955,7.5,6.5,1401,15.7,1346,28,15.1,2219,8.3,2218,3.1,92.4,1600,0.97,6.04,0,0,0,0,24.4,25.1,16
184,2016-06-21,23.9,21.4,205,26.3,1154,1.7,1,2208,3.3,2125,3.3,9.7,35,6.3,36,2.7,88,1100,3.25,18.96,0,0,0,0,26.9,24.9,16.2
184,2016-06-22,23.8,21.3,2315,27,1547,18.48,3.8,252,10,230,45.5,11.6,1731,6.7,1549,2.2,96.5,1200,1.03,4.4,0,0,0,0,24.4,25.4,16.1
184,2016-06-23,24.8,21.4,1,29.2,1303,2.58,0.2,42,0.6,16,0.6,10.2,1100,5.8,1111,2.5,83.6,1100,3.37,21.4,0,0,0,0,26.6,25.2,16.2
184,2016-06-24,24.9,22.2,114,30.2,630,1.02,0.3,836,0.3,746,0.3,17.3,652,9.1,656,4.3,84.6,1100,1.68,7.88,0,0,0,0,24.4,25.7,16.5
184,2016-06-25,23.5,21.7,526,27.6,1532,0,0,0,0,0,0,12.6,1810,8.6,1710,4.4,76.4,1400,2.57,13.51,0,0,0,0,25.3,25.1,16.7
